15,493.254,239.147,110.485,256.836,99.87,,
12,1464.7,649.8,103.472,238.175,99.811,,
10,1840.3,638.2,104.067,231.12,101.915,,
9,2384.7,253.4,111.727,220.913,99.823,,
5,3362.3,391,110.008,201.782,99.874,,
113,2755.1,738.6,103.061,213.403,102.386,,
808,2747.5,201,112.896,214.077,102.758,,
813,2000.75,105.75,113.701,228.426,102.263,,
816,3044.157,920.082,99.989,207.385,102.431,,
817,1983.948,903.278,99.367,228.098,102.429,,
904,646.484,208.741,111.177,253.983,100.527,,
910,904.535,857.269,99.326,248.573,101.861,,
911,600.875,822.462,99.611,254.508,100.815,,
913,488.453,733.245,101.359,256.468,101.035,, 
915,1047.9,724.6,101.893,246.06,102.173,,
